X-Values,Y1-Values,Y2-Values,Y3 Values,Y4 Values
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
